AGENCY,AWARDIDIDV,BUREAU,CONTRACT_NUMBER,DATASOURCE,DATE,DESCR,FROM_ZIP_CODE,LONGDESCR,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,PRICE,PSC,TO_ZIP_CODE,UNIT_OF_ISSUE,UNITS,VENDOR,EXTENDED_PRICE,PRODUCT_DESCRIPTION,QUANTITY,UNSPSC_CODE,ORDERING_PROCESS,PSC_DESCRIPTION,DUNS_NUMBER
AGENCY FOR INTERNATIONAL DEVELOPMENT,NGAKXE8919N,AGENCY FOR INTERNATIONAL DEVELOPMENT,GS-02F-XA001,OS2,2/15/2013,"BOORUM & PEASE # 25203 - 1 EA , ESS25203 by UPS/FedExGd, Ampad Recycled Wirebou","OTHER, UNDEFINED","BOORUM & PEASE # 25203 - 1 EA , ESS25203 by UPS/FedExGd, Ampad Recycled Wirebou",BOORUM & PEASE,ESS25203,7.98,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",23.94,OFFICE SUPPLIES,3,0,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
AGENCY FOR INTERNATIONAL DEVELOPMENT,NGAKXE8919N,AGENCY FOR INTERNATIONAL DEVELOPMENT,GS-02F-XA001,OS2,2/15/2013,"FOOHEY # 22478 - 1 ST OF ( 8 EA) , SAN22478 by UPS/FedExGd, Sharpie Flip Chart","OTHER, UNDEFINED","FOOHEY # 22478 - 1 ST OF ( 8 EA) , SAN22478 by UPS/FedExGd, Sharpie Flip Chart",FOOHEY,SAN22478,6.37,7510,"OTHER, UNDEFINED",ST,4,"CAPITOL SUPPLY, INC.",25.48,OFFICE SUPPLIES,4,44121708,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
AGENCY FOR INTERNATIONAL DEVELOPMENT,NGAKXE8919N,AGENCY FOR INTERNATIONAL DEVELOPMENT,GS-02F-XA001,OS2,2/15/2013,"HEWLETT PACKARD # CF280A - 1 EA , HEWCF280A by UPS/FedExGd, HP 80A Toner Cartri","OTHER, UNDEFINED","HEWLETT PACKARD # CF280A - 1 EA , HEWCF280A by UPS/FedExGd, HP 80A Toner Cartri",HEWLETT PACKARD,HEWCF280A,84.85,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",254.55,OFFICE SUPPLIES,3,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",66291214,,GS-02F-XA001,OS2,2/21/2013,534 Professional Guillotine,"OTHER, UNDEFINED",534 Professional Guillotine,Dahle,534,83.54,7510,"OTHER, UNDEFINED",CT,1,"CAPITOL SUPPLY, INC.",83.54,OFFICE SUPPLIES,1,44121612,VENDOR PORTAL,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",776430814,,GS-02F-XA001,OS2,2/27/2013,MFG Part#:ITYCL10BK ITOYA - CL-10BK - ITOYA Doubleheader Calligraphy Pen - Chisel Pen Point Style - 1.5 mm Pen Point Size - Black Ink - - MFG Part: CL10BK,"OTHER, UNDEFINED",MFG Part#:ITYCL10BK ITOYA - CL-10BK - ITOYA Doubleheader Calligraphy Pen - Chisel Pen Point Style - 1.5 mm Pen Point Size - Black Ink - - MFG Part: CL10BK,"Itoya of Americal, Ltd",CL10BK,1.5,7510,"OTHER, UNDEFINED",EA,10,"CAPITOL SUPPLY, INC.",15,OFFICE SUPPLIES,10,60121526,VENDOR PORTAL,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",776430814,,GS-02F-XA001,OS2,2/27/2013,"MFG Part#:ITYCL10BU ITOYA - CL-10BU - ITOYA Doubleheader CL-10 Calligraphy Marker - Chisel Pen Point Style - 1.5 mm Pen Point Size, 3 mm Pen Point Size - Blue Ink - - MFG Part: CL10BU","OTHER, UNDEFINED","MFG Part#:ITYCL10BU ITOYA - CL-10BU - ITOYA Doubleheader CL-10 Calligraphy Marker - Chisel Pen Point Style - 1.5 mm Pen Point Size, 3 mm Pen Point Size - Blue Ink - - MFG Part: CL10BU","Itoya of Americal, Ltd",CL10BU,1.5,7510,"OTHER, UNDEFINED",EA,5,"CAPITOL SUPPLY, INC.",7.5,OFFICE SUPPLIES,5,60121526,VENDOR PORTAL,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",776430814,,GS-02F-XA001,OS2,2/27/2013,"MFG Part#:ITYCL10PU ITOYA - CL-10PU - ITOYA Doubleheader CL-10 Calligraphy Marker - Chisel Pen Point Style - 1.5 mm Pen Point Size, 3 mm Pen Point Size - Purple Ink - - MFG Part: CL10PU","OTHER, UNDEFINED","MFG Part#:ITYCL10PU ITOYA - CL-10PU - ITOYA Doubleheader CL-10 Calligraphy Marker - Chisel Pen Point Style - 1.5 mm Pen Point Size, 3 mm Pen Point Size - Purple Ink - - MFG Part: CL10PU","Itoya of Americal, Ltd",CL10PU,1.5,7510,"OTHER, UNDEFINED",EA,5,"CAPITOL SUPPLY, INC.",7.5,OFFICE SUPPLIES,5,60121526,VENDOR PORTAL,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",776430814,,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:5110012414373 WINSTON SALEM IND F/T BLIND - 123586 - AbilityOne NSN No. 5110012414373 SHEARS, STRAIGHT TRIMMERS - MFG Part: 123586 NSN# 5110-01-241-4373","OTHER, UNDEFINED","MFG Part#:5110012414373 WINSTON SALEM IND F/T BLIND - 123586 - AbilityOne NSN No. 5110012414373 SHEARS, STRAIGHT TRIMMERS - MFG Part: 123586 NSN# 5110-01-241-4373",Winston Salem Industries,123586,5.29,7510,"OTHER, UNDEFINED",EA,6,"CAPITOL SUPPLY, INC.",31.74,OFFICE SUPPLIES,6,44121618,VENDOR PORTAL,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",EGAKXE0054E,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA002,OS2,2/13/2013,SMD71055: FILE 1055E EXPANDING - EA,"OTHER, UNDEFINED",SMD71055: FILE 1055E EXPANDING - EA,SMEAD MANUFACTURING CO.,SMD71055,2.31,7510,"OTHER, UNDEFINED",EA,25,DOCUMENT IMAGING DIMENSIONS INC.,57.75,OFFICE SUPPLIES,25,0,GSA ADVANTAGE!,OFFICE SUPPLIES,38062712
"CORPS OF ENGINEERS, CIVIL",EGAKXE9975E,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA002,OS2,2/15/2013,"SNANR1120: PAPER,20#,95BRT,RECY,BRW - CT","OTHER, UNDEFINED","SNANR1120: PAPER,20#,95BRT,RECY,BRW - CT",GRUPO PORTUCEL SOPORCEL,SNANR1120,40.47,7510,"OTHER, UNDEFINED",CT,2,DOCUMENT IMAGING DIMENSIONS INC.,80.94,OFFICE SUPPLIES,2,0,GSA ADVANTAGE!,OFFICE SUPPLIES,38062712
